Model,Image_Name,Prompt_Type,Prompt_Text,IoU,F1_Score,Boundary_IoU,GT_Path,Pred_Path
glamm,yong_01,appearance,the woman in white clothes and dark pants,0.9689,0.9842,0.9631,gt_masks/person/yong_01_person_1.png,results_glamm/person/yong_01_person_1_appearance_1.png
glamm,yong_01,spatial,the foreground human figure,0.9559,0.9775,0.9489,gt_masks/person/yong_01_person_1.png,results_glamm/person/yong_01_person_1_spatial_2.png
glamm,yong_01,spatial,the foreground woman on the left side,0.9467,0.9726,0.9357,gt_masks/person/yong_01_person_1.png,results_glamm/person/yong_01_person_1_spatial_3.png
glamm,yong_01,action,the standing woman near the left foreground,0.9499,0.9743,0.9395,gt_masks/person/yong_01_person_1.png,results_glamm/person/yong_01_person_1_action_4.png
glamm,yong_01,appearance,the background masked woman,0.412,0.5835,0.3409,gt_masks/person/yong_01_person_2.png,results_glamm/person/yong_01_person_2_appearance_1.png
glamm,yong_01,spatial,the background human figure,0.2272,0.3703,0.3035,gt_masks/person/yong_01_person_2.png,results_glamm/person/yong_01_person_2_spatial_2.png
glamm,yong_01,spatial,the background masked woman near the center-right,0.9145,0.9553,0.9562,gt_masks/person/yong_01_person_2.png,results_glamm/person/yong_01_person_2_spatial_3.png
glamm,yong_01,action,the walking masked woman in the mid-background,0.9178,0.9571,0.9676,gt_masks/person/yong_01_person_2.png,results_glamm/person/yong_01_person_2_action_4.png
glamm,yong_02,appearance,the woman in white clothes and dark pants,0.8993,0.947,0.9624,gt_masks/person/yong_02_person_1.png,results_glamm/person/yong_02_person_1_appearance_1.png
glamm,yong_02,spatial,the visible human figure,0.8984,0.9465,0.962,gt_masks/person/yong_02_person_1.png,results_glamm/person/yong_02_person_1_spatial_2.png
glamm,yong_02,action,the woman walking in side view,0.9031,0.9491,0.9638,gt_masks/person/yong_02_person_1.png,results_glamm/person/yong_02_person_1_action_3.png
glamm,yong_02,action,the walking woman facing right,0.9027,0.9488,0.9631,gt_masks/person/yong_02_person_1.png,results_glamm/person/yong_02_person_1_action_4.png
glamm,yong_03,appearance,the woman in white clothes and dark pants,0.9505,0.9746,0.9542,gt_masks/person/yong_03_person_1.png,results_glamm/person/yong_03_person_1_appearance_1.png
glamm,yong_03,spatial,the visible human figure,0.9554,0.9772,0.9577,gt_masks/person/yong_03_person_1.png,results_glamm/person/yong_03_person_1_spatial_2.png
glamm,yong_03,action,the foreground woman making a peace sign,0.9431,0.9707,0.9449,gt_masks/person/yong_03_person_1.png,results_glamm/person/yong_03_person_1_action_3.png
glamm,yong_03,action,the woman posing near the left side,0.9537,0.9763,0.9582,gt_masks/person/yong_03_person_1.png,results_glamm/person/yong_03_person_1_action_4.png
glamm,yong_04,appearance,the woman in white clothes and dark pants,0.0006,0.0011,0.0608,gt_masks/person/yong_04_person_1.png,results_glamm/person/yong_04_person_1_appearance_1.png
glamm,yong_04,spatial,the foreground human figure,0.9479,0.9733,0.9544,gt_masks/person/yong_04_person_1.png,results_glamm/person/yong_04_person_1_spatial_2.png
glamm,yong_04,action,the foreground woman making a peace sign on the left,0.9303,0.9639,0.9393,gt_masks/person/yong_04_person_1.png,results_glamm/person/yong_04_person_1_action_3.png
glamm,yong_04,action,the posed woman near the left foreground,0.9361,0.967,0.9443,gt_masks/person/yong_04_person_1.png,results_glamm/person/yong_04_person_1_action_4.png
glamm,yong_04,appearance,the background masked woman,0.9325,0.9651,0.9787,gt_masks/person/yong_04_person_2.png,results_glamm/person/yong_04_person_2_appearance_1.png
glamm,yong_04,spatial,the middle human figure,0.9187,0.9576,0.9775,gt_masks/person/yong_04_person_2.png,results_glamm/person/yong_04_person_2_spatial_2.png
